,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
vps71_rpd3,13.0,32.0,92.0,71.0,92.0,13.0,23.0,19.0,26.0,31.0,58.0,20.0
arp9_rpd3,13.0,19.0,39.0,34.0,65.0,49.0,39.0,69.0,114.0,24.0,95.0,13.0
pyk2_arp9,13.0,22.0,44.0,42.0,44.0,151.0,90.0,86.0,60.0,48.0,71.0,11.0
pyk1_arp9,13.0,52.0,42.0,51.0,91.0,25.0,15.0,24.0,33.0,107.0,81.0,25.0
sus1_eaf5,12.0,14.0,31.0,29.0,39.0,39.0,17.0,83.0,97.0,73.0,49.0,10.0
mig1_ada2,12.0,58.0,108.0,109.0,76.0,11.0,26.0,56.0,38.0,97.0,45.0,17.0
hat2_gcn5,12.0,29.0,21.0,66.0,75.0,7.0,12.0,86.0,29.0,9.0,39.0,8.0
hst2_ldb7,12.0,98.0,134.0,127.0,187.0,10.0,27.0,25.0,88.0,74.0,173.0,14.0
mig1_bre2,12.0,18.0,26.0,23.0,89.0,9.0,95.0,24.0,59.0,34.0,52.0,16.0
eaf3_eaf3,12.0,16.0,48.0,69.0,126.0,14.0,98.0,42.0,120.0,95.0,101.0,12.0
lge1_gapdh,12.0,18.0,39.0,28.0,40.0,15.0,39.0,46.0,43.0,114.0,77.0,16.0
sus1_tdh3,11.0,22.0,21.0,13.0,27.0,13.0,45.0,93.0,98.0,71.0,134.0,20.0
arp6_esa1,11.0,17.0,63.0,23.0,38.0,11.0,101.0,38.0,284.0,70.0,75.0,17.0
vps71_cac2,11.0,17.0,27.0,16.0,28.0,13.0,66.0,47.0,120.0,120.0,177.0,81.0
nhp6a_spp1,11.0,18.0,21.0,22.0,29.0,9.0,147.0,225.0,78.0,169.0,117.0,16.0
gcn5_hat2,10.0,25.0,39.0,85.0,71.0,38.0,153.0,306.0,226.0,224.0,250.0,20.0
bre2_eaf5,10.0,13.0,35.0,24.0,25.0,6.0,47.0,24.0,15.0,50.0,109.0,10.0
med7_arp6,8.0,13.0,28.0,22.0,81.0,5.0,3.0,67.0,64.0,100.0,176.0,9.0
vps71_rtt102,7.0,17.0,36.0,39.0,25.0,7.0,18.0,15.0,21.0,64.0,43.0,4.0
empty_eaf5,6.0,24.0,70.0,77.0,31.0,10.0,206.0,45.0,102.0,27.0,181.0,13.0
hos1_hhf2,6.0,52.0,84.0,52.0,42.0,5.0,40.0,34.0,53.0,38.0,17.0,10.0
mig1_arp9,5.0,48.0,61.0,25.0,61.0,2.0,102.0,81.0,117.0,89.0,55.0,6.0
hst2_rtt102,5.0,42.0,106.0,16.0,64.0,18.0,152.0,225.0,211.0,229.0,157.0,11.0
eaf5_hos1,4.0,35.0,33.0,48.0,125.0,52.0,18.0,14.0,16.0,35.0,39.0,17.0
mig1_hst2,4.0,36.0,45.0,50.0,247.0,13.0,39.0,65.0,49.0,36.0,61.0,6.0
